Gene	numberofposfactors	txids	interpolyAdist
FBgn0033167	2	FBtr0113049_FBtr0332995	499
FBgn0040513	2	FBtr0336926_FBtr0089002,FBtr0299801	972
FBgn0033174	2	FBtr0088974_FBtr0336911	580
FBgn0033177	2	FBtr0088999,FBtr0088998_FBtr0345799	746
FBgn0259745	4	FBtr0300081_FBtr0300084,FBtr0300080_FBtr0300083_FBtr0300082	NA
FBgn0033183	2	FBtr0300830,FBtr0336918_FBtr0088983	206
FBgn0261397	2	FBtr0089743,FBtr0089744_FBtr0089745	388
FBgn0033185	2	FBtr0088979_FBtr0336925	238
FBgn0033188	2	FBtr0088957_FBtr0088958,FBtr0336939,FBtr0088956	117
FBgn0261385	2	FBtr0100216_FBtr0088911,FBtr0088912	2573
FBgn0033196	2	FBtr0088950,FBtr0088948,FBtr0088949_FBtr0303287	470
FBgn0263077	3	FBtr0306943_FBtr0306933,FBtr0306934,FBtr0306937,FBtr0306938,FBtr0306939,FBtr0306940,FBtr0306941,FBtr0306942,FBtr0331951_FBtr0306931,FBtr0306932,FBtr0306935,FBtr0306936,FBtr0331952	NA
FBgn0050495	2	FBtr0088920_FBtr0336998	297
FBgn0033203	2	FBtr0088921_FBtr0336999	149
FBgn0033212	2	FBtr0088940,FBtr0088939,FBtr0300779,FBtr0332912_FBtr0300780,FBtr0332911	530
FBgn0042135	3	FBtr0306239,FBtr0088935,FBtr0330328_FBtr0088937,FBtr0330327_FBtr0088936	NA
FBgn0050497	3	FBtr0088932_FBtr0088934,FBtr0088933_FBtr0331966	NA
FBgn0266526	3	FBtr0344565_FBtr0344567,FBtr0344566_FBtr0344568	NA
FBgn0015614	2	FBtr0088930_FBtr0309866	918
FBgn0033222	2	FBtr0113050_FBtr0088830	61
FBgn0033226	3	FBtr0088837_FBtr0088834,FBtr0088835,FBtr0088836,FBtr0339120_FBtr0345697	NA
FBgn0040780	2	FBtr0113331_FBtr0340658	259
FBgn0085390	3	FBtr0308590,FBtr0112580_FBtr0112579,FBtr0112581,FBtr0330238,FBtr0346954_FBtr0308589	NA
FBgn0033232	2	FBtr0088888_FBtr0088889	184
FBgn0015509	2	FBtr0088845,FBtr0088847,FBtr0088848_FBtr0088846	681
FBgn0033236	2	FBtr0305127_FBtr0339128,FBtr0088880	9686
FBgn0027548	3	FBtr0339122_FBtr0088857_FBtr0088858	NA
FBgn0033243	3	FBtr0088875_FBtr0339126_FBtr0339127	NA
FBgn0033249	2	FBtr0088868_FBtr0339282	159
FBgn0033252	2	FBtr0088828_FBtr0088827,FBtr0339281	1749
FBgn0020279	2	FBtr0100575_FBtr0088774,FBtr0088775,FBtr0088776,FBtr0301915,FBtr0301916,FBtr0301917,FBtr0304681,FBtr0304682,FBtr0330630,FBtr0330631,FBtr0346957	1773
FBgn0050372	2	FBtr0100140_FBtr0300954,FBtr0339300	854
FBgn0005648	2	FBtr0088786_FBtr0088785	897
FBgn0033268	2	FBtr0088816_FBtr0339297	200
FBgn0263593	3	FBtr0303577,FBtr0088815,FBtr0303574,FBtr0303575,FBtr0303578,FBtr0303585_FBtr0303580_FBtr0113055,FBtr0303573,FBtr0303584,FBtr0303583	NA
FBgn0002531	2	FBtr0088763_FBtr0333557	522
FBgn0002533	2	FBtr0088761_FBtr0333556	177
FBgn0002534	2	FBtr0088743_FBtr0333554	84
FBgn0002535	2	FBtr0333555_FBtr0088744	265
FBgn0033292	2	FBtr0331956_FBtr0088760	66
FBgn0050360	2	FBtr0273322_FBtr0346647	399
FBgn0033296	2	FBtr0088757_FBtr0345489	792
FBgn0033302	2	FBtr0302331_FBtr0345575	109
FBgn0033309	2	FBtr0088730_FBtr0339357	556
FBgn0267792	2	FBtr0088692_FBtr0339354	1057
FBgn0033313	3	FBtr0305080,FBtr0310449,FBtr0310450_FBtr0301363_FBtr0290112,FBtr0305081,FBtr0305082,FBtr0310448	NA
FBgn0263120	3	FBtr0088701,FBtr0333001_FBtr0088699,FBtr0088700,FBtr0100426,FBtr0100428,FBtr0100429,FBtr0100430,FBtr0100431_FBtr0100427	NA
FBgn0033320	2	FBtr0088725,FBtr0339344_FBtr0339345	943
FBgn0004921	2	FBtr0088646,FBtr0088647_FBtr0088645	1661
FBgn0085248	2	FBtr0339309_FBtr0112412	468
FBgn0053199	2	FBtr0088688_FBtr0307344	432
FBgn0033356	2	FBtr0290278_FBtr0290279	1396
FBgn0033357	2	FBtr0088657_FBtr0339306	62
FBgn0033369	2	FBtr0088661_FBtr0339286	102
FBgn0003612	6	FBtr0088574_FBtr0088571,FBtr0088572,FBtr0088573,FBtr0088576,FBtr0088578_FBtr0088570,FBtr0088575,FBtr0088577_FBtr0306705_FBtr0302506,FBtr0343996_FBtr0302505,FBtr0302507	NA
FBgn0033388	2	FBtr0088620_FBtr0088621	389
FBgn0033391	2	FBtr0302511_FBtr0088611,FBtr0302512	693
FBgn0262515	2	FBtr0088588_FBtr0088587	119
FBgn0020621	2	FBtr0339294,FBtr0302603,FBtr0306585,FBtr0088602,FBtr0308206,FBtr0339290,FBtr0339291,FBtr0339292,FBtr0339293_FBtr0088605,FBtr0112897,FBtr0301511,FBtr0302604,FBtr0088603,FBtr0088604,FBtr0088601	1526
FBgn0028408	3	FBtr0332998_FBtr0088597,FBtr0112930_FBtr0304798	NA
FBgn0033402	2	FBtr0345024,FBtr0088598_FBtr0333000	855
FBgn0028473	2	FBtr0088554_FBtr0300649	95
FBgn0016078	2	FBtr0306111_FBtr0088553,FBtr0088552	1549
FBgn0017558	3	FBtr0088508_FBtr0306807_FBtr0112892,FBtr0333004	NA
FBgn0259234	2	FBtr0299845,FBtr0299846,FBtr0299847,FBtr0300527,FBtr0301766,FBtr0339382_FBtr0339381	1986
FBgn0259246	3	FBtr0299916,FBtr0300542,FBtr0305059,FBtr0305061,FBtr0305062_FBtr0299915,FBtr0300245_FBtr0305060,FBtr0336693	NA
FBgn0033421	2	FBtr0088547,FBtr0310031,FBtr0310033_FBtr0310032	3225
FBgn0085436	3	FBtr0302122_FBtr0339394,FBtr0112674,FBtr0112672,FBtr0112673_FBtr0304957	NA
FBgn0259678	2	FBtr0299929_FBtr0299930,FBtr0310326	2309
FBgn0033442	2	FBtr0088496_FBtr0336936	635
FBgn0033446	2	FBtr0088494,FBtr0088493_FBtr0339403	345
FBgn0050007	2	FBtr0300919,FBtr0300921_FBtr0088381,FBtr0300920	169
FBgn0011656	3	FBtr0088443,FBtr0088444,FBtr0088446_FBtr0330707,FBtr0330708_FBtr0088445,FBtr0088447	NA
FBgn0033466	2	FBtr0339422_FBtr0088385,FBtr0339423	822
FBgn0022382	3	FBtr0112901,FBtr0112902_FBtr0088437_FBtr0088438	NA
FBgn0033473	2	FBtr0088393_FBtr0088394	2170
FBgn0033474	3	FBtr0300719_FBtr0088436,FBtr0339418,FBtr0339419,FBtr0339420_FBtr0088435,FBtr0330325	NA
FBgn0033476	3	FBtr0088434_FBtr0345629,FBtr0339416_FBtr0345630	NA
FBgn0004907	3	FBtr0100182_FBtr0088413,FBtr0088416,FBtr0100183,FBtr0332917_FBtr0088412,FBtr0088414,FBtr0088415,FBtr0088417,FBtr0088418,FBtr0088419,FBtr0332916	NA
FBgn0003071	2	FBtr0088420,FBtr0088421,FBtr0304925,FBtr0333067_FBtr0088422	320
FBgn0010531	2	FBtr0300944_FBtr0333068	87
FBgn0033494	2	FBtr0299832_FBtr0301443,FBtr0301444,FBtr0310093,FBtr0310094,FBtr0310095,FBtr0310096,FBtr0310097,FBtr0299833	741
FBgn0085250	2	FBtr0299834_FBtr0345476	413
FBgn0000448	2	FBtr0306346,FBtr0088368,FBtr0330609,FBtr0088366,FBtr0302438,FBtr0112799_FBtr0306345	1459
FBgn0033500	2	FBtr0088335_FBtr0339450	521
FBgn0033504	3	FBtr0299830_FBtr0306688_FBtr0088338,FBtr0088339,FBtr0088340,FBtr0088341,FBtr0088342,FBtr0088343,FBtr0088344,FBtr0088345,FBtr0088346,FBtr0088347,FBtr0299825,FBtr0299826,FBtr0299828,FBtr0299829,FBtr0301131,FBtr0301965,FBtr0306690,FBtr0306691,FBtr0336694,FBtr0336695,FBtr0336696	NA
FBgn0026403	2	FBtr0088349_FBtr0339459	204
FBgn0261698	2	FBtr0303082,FBtr0303080,FBtr0303081,FBtr0303083,FBtr0305946,FBtr0329869,FBtr0330616_FBtr0329872,FBtr0329938	709
FBgn0262114	3	FBtr0330614_FBtr0088262_FBtr0088263,FBtr0100460,FBtr0306247,FBtr0346961	NA
FBgn0033523	2	FBtr0088314_FBtr0330615	74
FBgn0001122	3	FBtr0088264,FBtr0088265,FBtr0088267,FBtr0088268,FBtr0088269,FBtr0088270,FBtr0088271,FBtr0333064_FBtr0088266_FBtr0088272	NA
FBgn0005630	22	FBtr0089362_FBtr0089356_FBtr0089352_FBtr0089344_FBtr0100286_FBtr0089342,FBtr0089349_FBtr0089363_FBtr0089353_FBtr0089348_FBtr0089351,FBtr0089359_FBtr0089350_FBtr0343132_FBtr0089343,FBtr0089345_FBtr0089346_FBtr0089355_FBtr0089360_FBtr0089361_FBtr0089364_FBtr0089366_FBtr0089365_FBtr0089357_FBtr0089347	NA
FBgn0263102	2	FBtr0088275,FBtr0088276,FBtr0088277,FBtr0088278,FBtr0088279,FBtr0088280,FBtr0088281,FBtr0088282,FBtr0100606,FBtr0100607_FBtr0330607,FBtr0346958	1032
FBgn0033538	2	FBtr0088283,FBtr0088284,FBtr0113063_FBtr0339461	817
FBgn0024836	2	FBtr0304900_FBtr0088214,FBtr0300578,FBtr0303223,FBtr0304899,FBtr0330601,FBtr0339463	3004
FBgn0033544	2	FBtr0088218,FBtr0113064_FBtr0088216,FBtr0088217,FBtr0088219,FBtr0339465	945
FBgn0053144	2	FBtr0088254_FBtr0302517	342
FBgn0027525	2	FBtr0088245_FBtr0339475	439
FBgn0050020	2	FBtr0339521_FBtr0088235	404
FBgn0033570	2	FBtr0088238_FBtr0331936	70
FBgn0033574	2	FBtr0088211,FBtr0300862_FBtr0345584	1763
FBgn0040765	2	FBtr0088210,FBtr0345675_FBtr0333066	4838
FBgn0050489	2	FBtr0089419_FBtr0345674	2741
FBgn0033579	2	FBtr0088206_FBtr0330602,FBtr0330603	565
FBgn0037084	3	FBtr0088103_FBtr0088102_FBtr0088104	NA
FBgn0010423	2	FBtr0088184_FBtr0345540	190
FBgn0050033	2	FBtr0303156_FBtr0088117	430
FBgn0033631	3	FBtr0089938,FBtr0089939_FBtr0339489_FBtr0110897	NA
FBgn0015872	2	FBtr0331388,FBtr0331387,FBtr0331389,FBtr0088141,FBtr0088142_FBtr0331390,FBtr0339488	753
FBgn0040503	2	FBtr0088135_FBtr0331386	125
FBgn0000581	2	FBtr0088139,FBtr0088140,FBtr0330622_FBtr0330621,FBtr0330623	1240
FBgn0001269	2	FBtr0088068,FBtr0088069_FBtr0345673	2515
FBgn0033636	3	FBtr0088094_FBtr0333071,FBtr0088091,FBtr0113066_FBtr0333070	NA
FBgn0033638	3	FBtr0088089_FBtr0306029_FBtr0300945	NA
FBgn0033639	2	FBtr0088088,FBtr0113068,FBtr0113069,FBtr0330632,FBtr0330633_FBtr0113067,FBtr0330634	791
FBgn0044020	2	FBtr0088085_FBtr0302211	78
FBgn0010516	2	FBtr0088082_FBtr0088083	367
FBgn0062449	2	FBtr0088078_FBtr0345619	2339
FBgn0033652	2	FBtr0088030_FBtr0304622	2409
FBgn0013756	2	FBtr0088033_FBtr0332464	349
FBgn0033659	2	FBtr0088061_FBtr0347012	1064
FBgn0000556	2	FBtr0088035,FBtr0345023_FBtr0331927	242
FBgn0260959	2	FBtr0301428,FBtr0301429_FBtr0301430,FBtr0301431	845
FBgn0026573	2	FBtr0088041,FBtr0346629_FBtr0088042	2453
FBgn0033672	2	FBtr0088045_FBtr0339555	205
FBgn0033673	2	FBtr0088043_FBtr0306003	909
FBgn0265373	2	FBtr0339579_FBtr0339580,FBtr0339581	1951
FBgn0028407	2	FBtr0087979_FBtr0087980	246
FBgn0086677	2	FBtr0088021_FBtr0333065	5436
FBgn0027504	2	FBtr0333063_FBtr0088017,FBtr0088018	557
FBgn0040759	2	FBtr0112772_FBtr0345490	460
FBgn0014184	3	FBtr0088014_FBtr0088013_FBtr0088015	NA
FBgn0033699	2	FBtr0088006_FBtr0088007	367
FBgn0263020	2	FBtr0306900_FBtr0306901	39
FBgn0000253	4	FBtr0088002_FBtr0088001,FBtr0345018_FBtr0304964_FBtr0304963	NA
FBgn0261611	3	FBtr0302922,FBtr0302923,FBtr0332922,FBtr0332923,FBtr0332924,FBtr0345482_FBtr0345481_FBtr0345483	NA
FBgn0033708	2	FBtr0087973_FBtr0087972	47
FBgn0050046	2	FBtr0087895_FBtr0339627	354
FBgn0033712	2	FBtr0087896_FBtr0339628	276
FBgn0264560	2	FBtr0087898,FBtr0305075_FBtr0087897	1390
FBgn0033729	2	FBtr0087921_FBtr0345652	523
FBgn0033738	2	FBtr0087951_FBtr0087950	480
FBgn0033739	2	FBtr0113074,FBtr0305076_FBtr0087929,FBtr0087930,FBtr0100298,FBtr0305077,FBtr0308613	1626
FBgn0033744	2	FBtr0087936_FBtr0113075	1243
FBgn0045063	4	FBtr0087947_FBtr0087946_FBtr0339637_FBtr0346633	NA
FBgn0004435	4	FBtr0087832,FBtr0333101_FBtr0087829,FBtr0087830_FBtr0087831,FBtr0087833_FBtr0304955	NA
FBgn0033757	2	FBtr0087885_FBtr0087886,FBtr0333103	270
FBgn0261673	2	FBtr0087868_FBtr0339741,FBtr0339742,FBtr0087869,FBtr0087870,FBtr0302151,FBtr0339740,FBtr0087867	92
FBgn0261625	3	FBtr0339707,FBtr0302979,FBtr0302978_FBtr0302972,FBtr0302973_FBtr0302977,FBtr0344191,FBtr0302975,FBtr0302976,FBtr0302974	NA
FBgn0026619	3	FBtr0087864_FBtr0302455_FBtr0087863,FBtr0087862	NA
FBgn0003326	2	FBtr0087855_FBtr0087856	920
FBgn0033783	2	FBtr0339738_FBtr0087806	170
FBgn0033787	2	FBtr0087792_FBtr0345371	542
FBgn0005624	2	FBtr0345196,FBtr0087798_FBtr0345375	325
FBgn0265623	2	FBtr0087793,FBtr0330613_FBtr0300387	109
FBgn0033791	2	FBtr0087794_FBtr0339747	1332
FBgn0033792	2	FBtr0087722,FBtr0339748,FBtr0345194_FBtr0345931	234
FBgn0263998	3	FBtr0330330_FBtr0330332_FBtr0330329,FBtr0330331	NA
FBgn0085468	2	FBtr0112740_FBtr0112741	541
FBgn0033799	2	FBtr0087772,FBtr0310151,FBtr0310152,FBtr0310153,FBtr0310154_FBtr0310155	95
FBgn0033802	2	FBtr0087771,FBtr0334468,FBtr0344197_FBtr0310499,FBtr0339516	459
FBgn0028991	2	FBtr0100501_FBtr0344198	3129
FBgn0053182	2	FBtr0302052,FBtr0302053,FBtr0087770,FBtr0302054_FBtr0310498	8981
FBgn0033806	2	FBtr0087736_FBtr0087737	651
FBgn0033810	2	FBtr0087764_FBtr0345470	98
FBgn0011763	2	FBtr0087740,FBtr0333149_FBtr0087741	457
FBgn0002789	2	FBtr0087745_FBtr0345532	1121
FBgn0259219	3	FBtr0299738,FBtr0299739_FBtr0299736,FBtr0299737_FBtr0299740,FBtr0299741	NA
FBgn0033828	2	FBtr0087721_FBtr0302450	120
FBgn0263774	2	FBtr0310562_FBtr0345942	178
FBgn0033835	2	FBtr0087654_FBtr0339757	255
FBgn0053470	2	FBtr0303099_FBtr0087656	255
FBgn0259221	2	FBtr0303100,FBtr0299756,FBtr0299765,FBtr0299760_FBtr0306698,FBtr0299762,FBtr0299763,FBtr0299764,FBtr0299755,FBtr0299757,FBtr0299754,FBtr0299758,FBtr0299759,FBtr0299761	3101
FBgn0013765	3	FBtr0301395,FBtr0309888_FBtr0306635,FBtr0309890_FBtr0100654,FBtr0309889,FBtr0087704,FBtr0100656,FBtr0309892,FBtr0309893,FBtr0087703,FBtr0309891	NA
FBgn0033844	2	FBtr0087700,FBtr0332928_FBtr0087699,FBtr0305993	548
FBgn0004638	3	FBtr0087694_FBtr0087695_FBtr0087698,FBtr0087696,FBtr0087697	NA
FBgn0260964	3	FBtr0091492_FBtr0091493_FBtr0091491,FBtr0310062	NA
FBgn0261989	2	FBtr0303819_FBtr0346185	929
FBgn0027581	2	FBtr0087678,FBtr0330618_FBtr0330617	273
FBgn0085265	2	FBtr0301011_FBtr0345938	79
FBgn0261041	2	FBtr0304695_FBtr0087631,FBtr0304694	1248
FBgn0033872	3	FBtr0087634,FBtr0087635,FBtr0087636,FBtr0339951_FBtr0087633_FBtr0339950	NA
FBgn0033873	2	FBtr0087646_FBtr0345801	285
FBgn0033884	2	FBtr0339953_FBtr0087586	577
FBgn0013733	2	FBtr0304853_FBtr0304851,FBtr0087620,FBtr0087621,FBtr0301593,FBtr0301964,FBtr0304847,FBtr0304848,FBtr0304852,FBtr0087618,FBtr0087619,FBtr0273225,FBtr0273226,FBtr0301592,FBtr0087616,FBtr0087617,FBtr0273222,FBtr0273223,FBtr0273224,FBtr0301591,FBtr0304849,FBtr0304850	581
FBgn0262739	4	FBtr0087613_FBtr0087614_FBtr0087612_FBtr0305592	NA
FBgn0020620	3	FBtr0087604_FBtr0087605_FBtr0330626,FBtr0087603,FBtr0330627	NA
FBgn0002643	3	FBtr0087596_FBtr0087598_FBtr0087597,FBtr0339956	NA
FBgn0040752	2	FBtr0087601,FBtr0339763,FBtr0339765_FBtr0339764	1043
FBgn0033900	2	FBtr0087580_FBtr0339965	295
FBgn0033901	2	FBtr0087520_FBtr0339959	233
FBgn0033906	2	FBtr0087525_FBtr0302451,FBtr0302452,FBtr0302453	75
FBgn0000289	2	FBtr0087526,FBtr0087527,FBtr0087528,FBtr0087529,FBtr0290034,FBtr0339960,FBtr0339962_FBtr0112795,FBtr0290035,FBtr0339961,FBtr0346946	2610
FBgn0033912	2	FBtr0339970_FBtr0087575	263
FBgn0261269	2	FBtr0339967_FBtr0087540	457
FBgn0263397	4	FBtr0290111_FBtr0308837_FBtr0100370,FBtr0290109,FBtr0290110,FBtr0290292,FBtr0308834,FBtr0308835,FBtr0308836_FBtr0100369,FBtr0100372	NA
FBgn0033934	2	FBtr0087517_FBtr0339990	722
FBgn0024698	2	FBtr0089257_FBtr0089258	1349
FBgn0261823	2	FBtr0100154_FBtr0087493,FBtr0332929,FBtr0332930	1793
FBgn0265974	2	FBtr0087495,FBtr0333165_FBtr0333164	2596
FBgn0033951	2	FBtr0087433_FBtr0339980	193
FBgn0020269	2	FBtr0087477_FBtr0345427	557
FBgn0033958	2	FBtr0087476_FBtr0309056	1007
FBgn0041581	2	FBtr0087438_FBtr0300942	91
FBgn0028689	2	FBtr0087474_FBtr0087475,FBtr0306558	102
FBgn0020767	2	FBtr0087468,FBtr0329879_FBtr0329880	1510
FBgn0016684	2	FBtr0329884_FBtr0087463	408
FBgn0264962	4	FBtr0302109_FBtr0301513_FBtr0302294,FBtr0302560,FBtr0339985,FBtr0339986_FBtr0345528	NA
FBgn0013773	2	FBtr0087450,FBtr0339983_FBtr0345526	240
FBgn0015714	2	FBtr0087451_FBtr0345527	181
FBgn0033979	2	FBtr0087453_FBtr0339984	219
FBgn0033983	2	FBtr0087428,FBtr0303761,FBtr0303762_FBtr0303760	380
FBgn0033984	2	FBtr0303759_FBtr0087407	763
FBgn0261854	3	FBtr0303429,FBtr0303432,FBtr0303437,FBtr0303435,FBtr0303430_FBtr0303433,FBtr0329888,FBtr0329889,FBtr0329890,FBtr0329887,FBtr0303431_FBtr0303434	NA
FBgn0033987	2	FBtr0087409,FBtr0087411,FBtr0339987_FBtr0345946,FBtr0345947	211
FBgn0033990	2	FBtr0087421_FBtr0332259	191
FBgn0029082	2	FBtr0087413,FBtr0087414_FBtr0345419	756
FBgn0015371	3	FBtr0111007_FBtr0087416,FBtr0111006,FBtr0305217_FBtr0087415,FBtr0305213,FBtr0305214,FBtr0305215,FBtr0305216	NA
FBgn0033998	2	FBtr0087403_FBtr0087402,FBtr0329939	4718
FBgn0033999	2	FBtr0087401_FBtr0339997	221
FBgn0034002	4	FBtr0339994,FBtr0339995_FBtr0087368_FBtr0087367_FBtr0339993	NA
FBgn0265194	2	FBtr0339075_FBtr0339077,FBtr0339076,FBtr0339078,FBtr0339082,FBtr0339079,FBtr0339081,FBtr0339074,FBtr0339080	3573
FBgn0004698	3	FBtr0308700_FBtr0087374_FBtr0087373	NA
FBgn0013750	2	FBtr0087376,FBtr0087377,FBtr0087378,FBtr0087379_FBtr0087375	598
FBgn0034010	2	FBtr0087390_FBtr0340000	397
FBgn0026370	2	FBtr0087383,FBtr0330628_FBtr0087384,FBtr0087385	1408
FBgn0263980	3	FBtr0330007,FBtr0330009,FBtr0330016,FBtr0344200,FBtr0344202,FBtr0344203,FBtr0344204,FBtr0344205,FBtr0344206_FBtr0330010,FBtr0330012,FBtr0330013,FBtr0344201,FBtr0344207,FBtr0344208_FBtr0330011	NA
FBgn0034021	2	FBtr0087359,FBtr0340003_FBtr0345392	290
FBgn0019968	2	FBtr0087357,FBtr0329955,FBtr0329957,FBtr0346265_FBtr0329956	1929
FBgn0260429	2	FBtr0300853_FBtr0340006	6904
FBgn0023441	2	FBtr0087347,FBtr0087346,FBtr0087343,FBtr0087344_FBtr0087348,FBtr0306648,FBtr0302330,FBtr0087345	2698
FBgn0050089	2	FBtr0087285_FBtr0340007	508
FBgn0265991	3	FBtr0329909_FBtr0302163_FBtr0329911,FBtr0100387,FBtr0100388,FBtr0111048,FBtr0301313,FBtr0310086,FBtr0310087,FBtr0310088,FBtr0329912,FBtr0329913,FBtr0329914,FBtr0329915,FBtr0329916,FBtr0342711,FBtr0087315	NA
FBgn0034046	3	FBtr0087287,FBtr0340013_FBtr0308815_FBtr0308814	NA
FBgn0034045	2	FBtr0087310,FBtr0308817_FBtr0308818	1338
FBgn0264089	2	FBtr0330733,FBtr0330729,FBtr0330730,FBtr0330731,FBtr0330734_FBtr0330732	559
FBgn0034051	3	FBtr0306651_FBtr0306649_FBtr0087294,FBtr0306650,FBtr0087292,FBtr0087293,FBtr0087295,FBtr0302149	NA
FBgn0265045	3	FBtr0336648_FBtr0336645_FBtr0336643,FBtr0336646,FBtr0336647,FBtr0336644,FBtr0336649,FBtr0336650,FBtr0336651,FBtr0336652	NA
FBgn0020236	2	FBtr0300598,FBtr0340016,FBtr0300596_FBtr0300597	272
FBgn0034070	2	FBtr0087209_FBtr0340019	988
FBgn0034071	2	FBtr0087210_FBtr0340020	1369
FBgn0034072	2	FBtr0087256,FBtr0087257,FBtr0087258_FBtr0306238	491
FBgn0014020	2	FBtr0087211,FBtr0087214_FBtr0087212,FBtr0087213,FBtr0087216,FBtr0087217	740
FBgn0265605	2	FBtr0300576_FBtr0087254	237
FBgn0086676	2	FBtr0089593_FBtr0089589,FBtr0089590,FBtr0089591,FBtr0089592	191
FBgn0015754	2	FBtr0304747_FBtr0087236,FBtr0087240,FBtr0087241	1112
FBgn0265178	2	FBtr0339086_FBtr0339087	177
FBgn0053017	2	FBtr0087135,FBtr0344885_FBtr0345872	320
FBgn0262511	3	FBtr0087176_FBtr0087173_FBtr0087175,FBtr0290031,FBtr0290032	NA
FBgn0262816	2	FBtr0306048_FBtr0345656	3870
FBgn0264273	2	FBtr0100001,FBtr0290009,FBtr0329992_FBtr0329991	995
FBgn0011260	2	FBtr0087089,FBtr0087090,FBtr0345339_FBtr0087088	31
FBgn0034135	2	FBtr0087095,FBtr0087097_FBtr0087093,FBtr0087094	1460
FBgn0034138	2	FBtr0087124_FBtr0087123	84
FBgn0034145	2	FBtr0302205,FBtr0306249,FBtr0306250_FBtr0087108,FBtr0302206	955
FBgn0040505	2	FBtr0087118_FBtr0331926	809
FBgn0024232	2	FBtr0336682_FBtr0087109,FBtr0331921,FBtr0331922,FBtr0336683,FBtr0336950	2335
FBgn0050463	3	FBtr0113381_FBtr0087113,FBtr0113379,FBtr0113380_FBtr0087112	NA
FBgn0034152	2	FBtr0087082_FBtr0345494	226
FBgn0034153	2	FBtr0087081_FBtr0345493	91
FBgn0010213	2	FBtr0087078_FBtr0345492	131
FBgn0034158	2	FBtr0087027_FBtr0087026,FBtr0087028,FBtr0087029,FBtr0087030,FBtr0087031	1019
FBgn0026533	4	FBtr0100440_FBtr0100437_FBtr0100436,FBtr0100438_FBtr0332946	NA
FBgn0014870	3	FBtr0087072_FBtr0087074_FBtr0087073	NA
FBgn0028737	2	FBtr0332947_FBtr0345627	151
FBgn0003091	2	FBtr0087048,FBtr0087049,FBtr0112819,FBtr0305069,FBtr0305070_FBtr0331960	2019
FBgn0004580	2	FBtr0340072_FBtr0087056	1354
FBgn0050462	2	FBtr0346515_FBtr0100120,FBtr0336870	829
FBgn0034180	2	FBtr0087019,FBtr0114627,FBtr0114628_FBtr0340073	232
FBgn0034181	2	FBtr0087016,FBtr0300573,FBtr0340126_FBtr0087017	120
FBgn0034186	2	FBtr0087013_FBtr0306810	540
FBgn0050460	3	FBtr0302611_FBtr0087009_FBtr0087012,FBtr0087011,FBtr0300958,FBtr0087010,FBtr0273340,FBtr0273341,FBtr0113378	NA
FBgn0010226	3	FBtr0100258_FBtr0087005_FBtr0087006,FBtr0333551	NA
FBgn0034200	2	FBtr0086987_FBtr0345519	764
FBgn0034201	2	FBtr0086989_FBtr0346643	1895
FBgn0034204	2	FBtr0086997_FBtr0329878	377
FBgn0265487	4	FBtr0086991_FBtr0086992_FBtr0306601,FBtr0306603,FBtr0306604,FBtr0306606,FBtr0336940,FBtr0336941,FBtr0336942_FBtr0086994,FBtr0310058,FBtr0310059,FBtr0310346	NA
FBgn0262961	2	FBtr0306715_FBtr0306714	32
FBgn0028953	2	FBtr0086921,FBtr0086922,FBtr0345417_FBtr0345418	215
FBgn0022987	3	FBtr0086923,FBtr0086925_FBtr0306248_FBtr0331464	NA
FBgn0262570	2	FBtr0304897_FBtr0345650	4433
FBgn0262720	2	FBtr0305704_FBtr0305701,FBtr0305702,FBtr0305703,FBtr0305705	1186
FBgn0085222	2	FBtr0112386_FBtr0345622	596
FBgn0263197	3	FBtr0086948,FBtr0086949_FBtr0086950,FBtr0273447,FBtr0300603,FBtr0332260,FBtr0332261,FBtr0332262,FBtr0332263,FBtr0332264,FBtr0332266_FBtr0273446,FBtr0332265	NA
FBgn0034237	2	FBtr0086941_FBtr0086942	79
FBgn0263076	2	FBtr0306905,FBtr0340221_FBtr0306906	419
FBgn0034245	2	FBtr0086905_FBtr0329864	237
FBgn0016701	2	FBtr0086829_FBtr0086830	244
FBgn0029006	2	FBtr0086833_FBtr0333168	480
FBgn0034258	2	FBtr0086836_FBtr0340269	97
FBgn0016059	2	FBtr0302161_FBtr0086891,FBtr0086890	448
FBgn0034266	2	FBtr0299816_FBtr0340274	4356
FBgn0034270	2	FBtr0086882_FBtr0340278	230
FBgn0003545	2	FBtr0340277_FBtr0086881	337
FBgn0028741	2	FBtr0089555_FBtr0089554	1159
FBgn0250851	2	FBtr0100025,FBtr0329953_FBtr0100026	1159
FBgn0028743	2	FBtr0301142_FBtr0340279	2549
FBgn0259211	4	FBtr0300538_FBtr0300541,FBtr0306625_FBtr0299705,FBtr0299706,FBtr0299707,FBtr0345791_FBtr0300539	NA
FBgn0041585	2	FBtr0114614_FBtr0086795,FBtr0086797,FBtr0336698,FBtr0336699	298
FBgn0003701	2	FBtr0086825_FBtr0340283	220
FBgn0034282	3	FBtr0113091_FBtr0086823,FBtr0300410_FBtr0086822	NA
FBgn0011589	2	FBtr0086802_FBtr0340287	155
FBgn0034288	2	FBtr0086804_FBtr0345582	409
FBgn0034290	2	FBtr0340281,FBtr0086813_FBtr0345472	771
FBgn0054005	2	FBtr0344762_FBtr0300216	61
FBgn0034293	2	FBtr0345646_FBtr0086810	103
FBgn0034294	2	FBtr0086809_FBtr0340280	207
